"borough","ClosureType","EditDate","GISpropNum","OMPpropID","Red.Sign.Installed","Status","accessibility","accessibilityLevel","location","name","longitude","latitude","rules","system","Approx.Date.Closed","Approx.Date.Reopened","Community.board","District","button","content"
"Queens","Completely Locked","06/22/2020 01:08:28 PM","Q354","Q354","","Reopened","true","Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features","160 St. bet. 75 Ave. and 75 Rd.","Playground Seventy Five",-73.808360684891,40.7264189880026,"Adults Allowed","Q354-CPA-0001","03/31/2020 07:11:11 PM","06/21/2020 12:00:00 AM",408,"Q-08","Playgrounds","160 St. bet. 75 Ave. and 75 Rd., Queens, NY<br/><b>Status: </b>Reopened<br/><b>Accessibility: </b>Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features"
"Brooklyn","Completely Locked","06/23/2020 10:01:04 AM","B348","B348","","Reopened","true","Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features","Tompkins Ave., Willoughby Ave., Vernon Ave.","Willoughby Playground",-73.946458553835,40.6944428265274,"Adults Allowed","B348-CPA-0001","03/31/2020 07:11:11 PM","06/22/2020 12:00:00 AM",303,"B-03","Playgrounds","Tompkins Ave., Willoughby Ave., Vernon Ave., Brooklyn, NY<br/><b>Status: </b>Reopened<br/><b>Accessibility: </b>Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features"
"Queens","Not Lockable","06/21/2020 02:55:40 PM","Q092","Q092","","Reopened","true","Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features","N. Conduit Ave., 135 Ave. bet. 130 Pl. and 134 St.","Police Officer Edward Byrne Park",-73.8068925391305,40.6674534874778,"Adults Allowed","Q092-CPA-0001","03/31/2020 07:11:11 PM","06/21/2020 02:55:37 PM",410,"Q-10","Playgrounds","N. Conduit Ave., 135 Ave. bet. 130 Pl. and 134 St., Queens, NY<br/><b>Status: </b>Reopened<br/><b>Accessibility: </b>Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features"
"Manhattan","Partially Locked","06/22/2020 04:25:26 PM","M208D","M208D","true","Reopened","","","","Each One Teach One",-73.9345683794346,40.807157334283,"","","03/31/2020 07:11:11 PM","06/21/2020 12:00:00 AM",111,"M-11","Playgrounds",", Manhattan, NY<br/><b>Status: </b>Reopened<br/><b>Accessibility: </b>"
"Brooklyn","Completely Locked","06/22/2020 01:39:23 PM","B236","B236","","Reopened","true","Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features","Ralph Ave. and Farragut Rd.","Glenwood Playground",-73.9201988650394,40.6365107098811,"Adults Allowed","B236-CPA-0001","03/31/2020 07:11:11 PM","06/22/2020 12:00:00 AM",318,"B-18","Playgrounds","Ralph Ave. and Farragut Rd., Brooklyn, NY<br/><b>Status: </b>Reopened<br/><b>Accessibility: </b>Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features"
"Bronx","Not Lockable","07/06/2020 12:48:59 PM","X148A3","X148A3","","Reopened","","","","Bridge Playground",-73.9241211845785,40.8443125809914,"","","03/31/2020 07:11:11 PM","07/06/2020 12:00:00 AM",204,"X-04","Playgrounds",", Bronx, NY<br/><b>Status: </b>Reopened<br/><b>Accessibility: </b>"
"Queens","Partially Locked","06/19/2020 01:56:40 PM","Q391","Q391","","Reopened","false","Not Applicable","164 Pl. bet. Grand Central Pkwy. Sr. Rd. S. and 84 Ave.","Joseph Austin Playground",-73.8013859821938,40.7155140341004,"Adults Allowed","Q391-CPA-0001","03/31/2020 07:11:11 PM","06/19/2020 01:56:37 PM",408,"Q-08","Playgrounds","164 Pl. bet. Grand Central Pkwy. Sr. Rd. S. and 84 Ave., Queens, NY<br/><b>Status: </b>Reopened<br/><b>Accessibility: </b>Not Applicable"
"Queens","Partially Locked","06/21/2020 11:14:48 AM","Q020","Q020-02","","Reopened","false","Not Applicable","Heath Pl & Highland Blvd","Upper Highland Playground",-73.8927063694293,40.6828427819236,"Unknown","Q020-CPA-0002","03/31/2020 07:11:11 PM","06/21/2020 11:14:45 AM",305,"Q-05A","Playgrounds","Heath Pl & Highland Blvd, Queens, NY<br/><b>Status: </b>Reopened<br/><b>Accessibility: </b>Not Applicable"
"Staten Island","Completely Locked","06/23/2020 01:21:02 PM","R067","R067","","Reopened","false","Not Applicable","Dongan Hills Ave. and Jefferson St.","Gen. Douglas MacArthur Park",-74.1011592636215,40.5856705812178,"Adults Allowed","R067-CPA-0001","03/31/2020 07:11:11 PM","06/23/2020 12:00:00 AM",502,"R-02","Playgrounds","Dongan Hills Ave. and Jefferson St., Staten Island, NY<br/><b>Status: </b>Reopened<br/><b>Accessibility: </b>Not Applicable"
"Queens","Completely Locked","06/25/2020 11:28:00 AM","Q516","Q516","","UnderConstruction","","","","Lt. Michael R. Davidson Playground",-73.9135101287059,40.7486571697983,"","","03/31/2020 07:11:11 PM","06/25/2020 11:27:58 AM",402,"Q-02","Playgrounds",", Queens, NY<br/><b>Status: </b>UnderConstruction<br/><b>Accessibility: </b>"
"Queens","Partially Locked","06/19/2020 10:47:45 AM","Q015","Q015-02","","Reopened","true","Level 3: Accessible Playgrounds with Universally Accessible Swings","Union Tpke, Park Lane S, Adj Overlook","Sobelsohn Park",-73.8359779942057,40.7095355541116,"Unknown","Q015-CPA-0001","03/31/2020 07:11:11 PM","06/19/2020 10:47:42 AM",482,"Q-16","Playgrounds","Union Tpke, Park Lane S, Adj Overlook, Queens, NY<br/><b>Status: </b>Reopened<br/><b>Accessibility: </b>Level 3: Accessible Playgrounds with Universally Accessible Swings"
"Brooklyn","Completely Locked","06/22/2020 04:19:50 PM","B223A","B223A","","Reopened","","","Rapelye St., Hicks St., Coles St.","Dimattina Playground",-74.0027443047247,40.6799690686915,"","","03/31/2020 07:11:11 PM","06/22/2020 12:00:00 AM",306,"B-06","Playgrounds","Rapelye St., Hicks St., Coles St., Brooklyn, NY<br/><b>Status: </b>Reopened<br/><b>Accessibility: </b>"
"Queens","Completely Locked","06/21/2020 06:41:49 PM","Q102","Q102-02","","Reopened","false","Not Applicable","80th St, Juniper Blvd S, 77th Place, Juniper Blvd S, 78th St","Juniper North Playground Tennis",-73.8776977506441,40.7201867524036,"Unknown","Q102-CPA-0001","03/31/2020 07:11:11 PM","06/21/2020 09:00:00 AM",405,"Q-05","Playgrounds","80th St, Juniper Blvd S, 77th Place, Juniper Blvd S, 78th St, Queens, NY<br/><b>Status: </b>Reopened<br/><b>Accessibility: </b>Not Applicable"
"Staten Island","Not Lockable","06/22/2020 04:56:40 PM","R109","R109-01","","Reopened","false","Not Applicable","Broadway, Wayne St","Corporal Thompson Playground",-74.1180529211784,40.6389410494042,"Adults not allowed in some locations","R109-CPA-0001","03/31/2020 07:11:11 PM","06/22/2020 12:00:00 AM",501,"R-01","Playgrounds","Broadway, Wayne St, Staten Island, NY<br/><b>Status: </b>Reopened<br/><b>Accessibility: </b>Not Applicable"
"Brooklyn","Partially Locked","06/22/2020 03:29:41 PM","B128","B128","","Reopened","false","Not Applicable","Ave. P bet. E. 4 St. and Ocean Pkwy.","Colonel David Marcus Playground",-73.9687817102833,40.6102629888919,"Adults Allowed","B128-CPA-0001","03/31/2020 07:11:11 PM","06/22/2020 12:00:00 AM",312,"B-12","Playgrounds","Ave. P bet. E. 4 St. and Ocean Pkwy., Brooklyn, NY<br/><b>Status: </b>Reopened<br/><b>Accessibility: </b>Not Applicable"
"Brooklyn","Partially Locked","06/22/2020 01:13:48 PM","B218","B218","","Reopened","","","","Paerdegat Park",-73.9383470442252,40.6383576102499,"","","03/31/2020 07:11:11 PM","06/22/2020 12:00:00 AM",317,"B-17","Playgrounds",", Brooklyn, NY<br/><b>Status: </b>Reopened<br/><b>Accessibility: </b>"
"Brooklyn","Completely Locked","06/22/2020 01:43:27 PM","B324","B324","","Reopened","false","Not Applicable","Ave. K between E. 58 St. and E. 59 St.","Jacob Joffe Fields",-73.9193259732389,40.6245726955343,"Adults not allowed in some locations","B324-CPA-0001","03/31/2020 07:11:11 PM","06/22/2020 12:00:00 AM",318,"B-18","Playgrounds","Ave. K between E. 58 St. and E. 59 St., Brooklyn, NY<br/><b>Status: </b>Reopened<br/><b>Accessibility: </b>Not Applicable"
"Manhattan","Completely Locked","06/22/2020 11:04:53 AM","M264","M264","","Reopened","true","Level 2: Accessible Playgrounds with Ramped Play Equipment and Universally Accessible Swings","W. 89 St., Amsterdam Ave. and Columbus Ave.","Playground Eighty Nine LXXXIX",-73.9717727029232,40.788560957606,"Adults not allowed in some locations","M264-CPA-0001","03/31/2020 07:11:11 PM","06/21/2020 12:00:00 AM",107,"M-07","Playgrounds","W. 89 St., Amsterdam Ave. and Columbus Ave., Manhattan, NY<br/><b>Status: </b>Reopened<br/><b>Accessibility: </b>Level 2: Accessible Playgrounds with Ramped Play Equipment and Universally Accessible Swings"
"Bronx","Completely Locked","06/22/2020 11:05:07 AM","X170","X170","","Reopened","true","Level 3: Accessible Playgrounds with Universally Accessible Swings","St. Peter's Ave. at Tratman Ave.","The Pearly Gates",-73.8455607704643,40.838596449157,"Adults Allowed","X170-CPA-0001","03/31/2020 07:11:11 PM","06/21/2020 12:00:00 AM",210,"X-10","Playgrounds","St. Peter's Ave. at Tratman Ave., Bronx, NY<br/><b>Status: </b>Reopened<br/><b>Accessibility: </b>Level 3: Accessible Playgrounds with Universally Accessible Swings"
"Queens","Not Lockable","06/23/2020 12:26:47 PM","Q086","Q086-01","","Reopened","true","Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features","149 St & 25 Ave","Leonardo Ingravallo Playground",-73.8173841290034,40.7761287084596,"Adults Allowed","Q086-CPA-0001","03/31/2020 07:11:11 PM","06/23/2020 12:26:44 PM",407,"Q-07","Playgrounds","149 St & 25 Ave, Queens, NY<br/><b>Status: </b>Reopened<br/><b>Accessibility: </b>Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features"
"Queens","Completely Locked","06/21/2020 04:56:36 PM","Q367","Q367","","Reopened","true","Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features","Rockaway Beach Blvd. bet. Beach 84 St. and Beach 81 St.","Hammel Playground",-73.809673234788,40.5882156210259,"Adults Allowed","Q367-CPA-0001","03/31/2020 07:11:11 PM","06/21/2020 04:56:33 PM",414,"Q-14","Playgrounds","Rockaway Beach Blvd. bet. Beach 84 St. and Beach 81 St., Queens, NY<br/><b>Status: </b>Reopened<br/><b>Accessibility: </b>Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features"
"Queens","Completely Locked","06/21/2020 03:11:39 PM","Q301","Q301","","Reopened","true","Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features","Union Hall St., 160 St. bet. 110 Ave. and 109 Ave.","Jamaica Playground",-73.7902805189443,40.6931996491865,"Adults Allowed","Q301-CPA-0001","03/31/2020 07:11:11 PM","06/21/2020 03:00:00 PM",412,"Q-12","Playgrounds","Union Hall St., 160 St. bet. 110 Ave. and 109 Ave., Queens, NY<br/><b>Status: </b>Reopened<br/><b>Accessibility: </b>Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features"
"Queens","Completely Locked","06/22/2020 06:30:59 PM","Q395","Q395","","Reopened","","","37 St., 38 St., bet. 20 Rd. and 20 Ave.","Steinway Playground",-73.9034653821071,40.7764296787372,"","","03/31/2020 07:11:11 PM","06/22/2020 12:00:00 AM",401,"Q-01","Playgrounds","37 St., 38 St., bet. 20 Rd. and 20 Ave., Queens, NY<br/><b>Status: </b>Reopened<br/><b>Accessibility: </b>"
"Bronx","Partially Locked","06/22/2020 09:35:38 AM","X045","X045-01","","Reopened","true","Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features","Jackson Ave & 144 St","St Mary's Playground East",-73.9104904502209,40.8103644495424,"Adults Allowed","X045-CPA-0001","03/31/2020 07:11:11 PM","06/21/2020 12:00:00 AM",201,"X-01","Playgrounds","Jackson Ave & 144 St, Bronx, NY<br/><b>Status: </b>Reopened<br/><b>Accessibility: </b>Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features"
"Queens","Partially Locked","06/21/2020 12:55:58 PM","Q009","Q009-01","","Reopened","true","Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features","Poppenhusen Ave, opp 119 St","MacNeil Playground",-73.8511309339273,40.793337138933,"Unknown","Q009-CPA-0001","03/31/2020 07:11:11 PM","06/21/2020 12:55:56 PM",407,"Q-07","Playgrounds","Poppenhusen Ave, opp 119 St, Queens, NY<br/><b>Status: </b>Reopened<br/><b>Accessibility: </b>Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features"
"Manhattan","Completely Locked","06/22/2020 01:09:00 PM","M215","M215","","Reopened","true","Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features","99 St. To 100 St., 3 Ave.","Cherry Tree Park",-73.947480264368,40.7872283708826,"Adults Allowed","M215-CPA-0001","03/31/2020 07:11:11 PM","06/21/2020 12:00:00 AM",111,"M-11","Playgrounds","99 St. To 100 St., 3 Ave., Manhattan, NY<br/><b>Status: </b>Reopened<br/><b>Accessibility: </b>Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features"
"Brooklyn","Completely Locked","06/22/2020 12:32:10 PM","B345","B345","","Reopened","true","Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features","Wortman Ave. between Vermont St. and New Jersey Ave.","Ethan Allen Playground",-73.8868237978681,40.655856296602,"Adults Allowed","B345-CPA-0001","03/31/2020 07:11:11 PM","06/20/2020 12:00:00 AM",305,"B-05","Playgrounds","Wortman Ave. between Vermont St. and New Jersey Ave., Brooklyn, NY<br/><b>Status: </b>Reopened<br/><b>Accessibility: </b>Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features"
"Brooklyn","Completely Locked","06/22/2020 03:29:41 PM","B042","B042","","Reopened","true","Level 2: Accessible Playgrounds with Ramped Play Equipment and Universally Accessible Swings","18 Ave., 19 Ave., bet. 55 St. and 58 St.","Gravesend Park",-73.9850377967473,40.6235947730069,"Adults not allowed in some locations","B042-CPA-0001","03/31/2020 07:11:11 PM","06/22/2020 12:00:00 AM",312,"B-12","Playgrounds","18 Ave., 19 Ave., bet. 55 St. and 58 St., Brooklyn, NY<br/><b>Status: </b>Reopened<br/><b>Accessibility: </b>Level 2: Accessible Playgrounds with Ramped Play Equipment and Universally Accessible Swings"
"Brooklyn","Completely Locked","06/22/2020 01:46:50 PM","B057","B057-06","","Reopened","","","","Seba Playground",-73.9203001962731,40.5892311881613,"","","03/31/2020 07:11:11 PM","06/22/2020 12:00:00 AM",318,"B-18","Playgrounds",", Brooklyn, NY<br/><b>Status: </b>Reopened<br/><b>Accessibility: </b>"
"Manhattan","Completely Locked","06/22/2020 11:46:50 AM","M042","M042-03","","Reopened","true","Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features","W 214 St & Seaman Ave","Indian Road Plgd",-73.9198975430368,40.8716782264556,"Adults not allowed in some locations","M042-CPA-0003","03/31/2020 07:11:11 PM","06/21/2020 12:00:00 AM",112,"M-12","Playgrounds","W 214 St & Seaman Ave, Manhattan, NY<br/><b>Status: </b>Reopened<br/><b>Accessibility: </b>Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features"
"Brooklyn","Completely Locked","06/24/2020 10:46:06 AM","B404","B404","","Reopened","false","Not Applicable","E. 94 St. bet. Rutland Rd. and E. New York Ave.","East Flatbush Children's Playground",-73.9269938349353,40.6632449544989,"Adults not allowed in some locations","B404-CPA-0001","03/31/2020 07:11:11 PM","06/23/2020 12:00:00 AM",317,"B-17","Playgrounds","E. 94 St. bet. Rutland Rd. and E. New York Ave., Brooklyn, NY<br/><b>Status: </b>Reopened<br/><b>Accessibility: </b>Not Applicable"
"Bronx","Completely Locked","06/22/2020 10:49:43 AM","X002","X002-14","","Reopened","true","Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features","Bronx River Pkwy & Rosewood St","Rosewood Playground",-73.8708889883748,40.8730689452171,"Adults Allowed","X002-CPA-0006","03/31/2020 07:11:11 PM","06/21/2020 12:00:00 AM",212,"X-14","Playgrounds","Bronx River Pkwy & Rosewood St, Bronx, NY<br/><b>Status: </b>Reopened<br/><b>Accessibility: </b>Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features"
"Staten Island","Completely Locked","06/23/2020 10:15:20 AM","R016","R016-01","","Reopened","false","Not Applicable","Cedar Grove Ave, New Dorp Ln, Neptune St","Corporal Allan F. Kivlehan Park",-74.0977165741256,40.5638530248634,"Adults Allowed","R016-CPA-0001","03/31/2020 07:11:11 PM","06/22/2020 12:00:00 AM",595,"R-03","Playgrounds","Cedar Grove Ave, New Dorp Ln, Neptune St, Staten Island, NY<br/><b>Status: </b>Reopened<br/><b>Accessibility: </b>Not Applicable"
"Queens","Completely Locked","06/21/2020 06:55:59 PM","Q425","Q425","","Reopened","true","Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features","Yellowstone Blvd. bet. 68 Ave. and 68 Rd.","Yellowstone Park",-73.8479286680021,40.7261695396805,"Adults Allowed","Q425-CPA-0001","03/31/2020 07:11:11 PM","06/21/2020 09:45:00 AM",406,"Q-06","Playgrounds","Yellowstone Blvd. bet. 68 Ave. and 68 Rd., Queens, NY<br/><b>Status: </b>Reopened<br/><b>Accessibility: </b>Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features"
"Manhattan","Completely Locked","06/22/2020 11:58:32 AM","M010","M010-143","","Reopened","false","Not Applicable","79 St & 5 Av","Pat Hoffman Friedman Plgd",-73.9640332238573,40.7777122630061,"Unknown","M010-CPA-0007","03/31/2020 07:11:11 PM","06/23/2020 12:00:00 AM",164,"M-13","Playgrounds","79 St & 5 Av, Manhattan, NY<br/><b>Status: </b>Reopened<br/><b>Accessibility: </b>Not Applicable"
"Bronx","Completely Locked","06/22/2020 09:40:13 AM","X348","X348-01","","Reopened","true","Level 2: Accessible Playgrounds with Ramped Play Equipment and Universally Accessible Swings","North Side Of E 157th St & River Ave","River Avenue Parks",-73.9267594145622,40.8257909267636,"Adults not allowed in some locations","X348-CPA-0001","03/31/2020 07:11:11 PM","06/21/2020 12:00:00 AM",204,"X-04","Playgrounds","North Side Of E 157th St & River Ave, Bronx, NY<br/><b>Status: </b>Reopened<br/><b>Accessibility: </b>Level 2: Accessible Playgrounds with Ramped Play Equipment and Universally Accessible Swings"
"Brooklyn","Completely Locked","06/22/2020 04:33:21 PM","B223H","B223H","","Reopened","true","Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features","Columbia Hts. at Middagh St.","Harry Chapin Playground",-73.9948995800861,40.70067368394,"Adults not allowed in some locations","B223H-CPA-0001","03/31/2020 07:11:11 PM","06/22/2020 12:00:00 AM",302,"B-02","Playgrounds","Columbia Hts. at Middagh St., Brooklyn, NY<br/><b>Status: </b>Reopened<br/><b>Accessibility: </b>Level 4: Accessible Playgrounds with Transfer Platforms and Ground Level Play Features"
"Queens","Not Lockable","06/21/2020 11:39:53 AM","Q134","Q134","","Reopened","true","Level 2: Accessible Playgrounds with Ramped Play Equipment and Universally Accessible Swings","240 St. bet. Braddock Ave. and Fairbury Ave.","Breininger Park",-73.7290120706323,40.7263427376951,"Unknown","Q134-CPA-0001","03/31/2020 07:11:11 PM","06/21/2020 11:39:50 AM",413,"Q-13","Playgrounds","240 St. bet. Braddock Ave. and Fairbury Ave., Queens, NY<br/><b>Status: </b>Reopened<br/><b>Accessibility: </b>Level 2: Accessible Playgrounds with Ramped Play Equipment and Universally Accessible Swings"
